name,sub_category,category,image,quantity,unit
Chicken Breast,poultry,meat,https://images.pexels.com/photos/262945/pexels-photo-262945.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,250,g
chicken thigh,poultry,meat,https://images.pexels.com/photos/1624487/pexels-photo-1624487.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,250,g
chicken whole,poultry,meat,https://images.pexels.com/photos/616353/pexels-photo-616353.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,1,each
pork sausages,pork,meat,https://images.pexels.com/photos/929137/pexels-photo-929137.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,450,g
pork loin steak,pork,meat,https://images.pexels.com/photos/361184/asparagus-steak-veal-steak-veal-361184.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,200,g
pork ribs,pork,meat,https://images.unsplash.com/photo-1529193591184-b1d58069ecdd?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=750&q=80,150,g
lamb chops,red meat,meat,https://images.pexels.com/photos/323682/pexels-photo-323682.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,200,g
steak,red meat,meat,https://images.unsplash.com/photo-1560781290-7dc94c0f8f4f?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=750&q=80,200,g
mussels,mollusc,seafood,https://images.unsplash.com/photo-1466553556096-7e2c49388e34?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=2089&q=80,150,g
prawns,Crustacean,seafood,https://images.pexels.com/photos/725992/pexels-photo-725992.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,200,g
crab,Crustacean,seafood,https://images.unsplash.com/photo-1553659971-f01207815844?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,100,g
salmon,Fish,seafood,https://images.unsplash.com/photo-1499125562588-29fb8a56b5d5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=2089&q=80,130,g
cod,Fish,seafood,https://cdn.tasteatlas.com/images/dishes/952be31521114ce89c8525996e17dbce.jpg?w=600&h=450,130,g
plaice,Fish,seafood,https://images.unsplash.com/photo-1513271224036-f526ad664968?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1650&q=80,140,g
apples,apples & pears,fruit,https://images.pexels.com/photos/206959/pexels-photo-206959.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,1,each
pears,apples & pears,fruit,https://images.unsplash.com/photo-1568742288934-acccacd47921?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=670&q=80,1,each
lemons,citrus,fruit,https://images.unsplash.com/photo-1568569350062-ebfa3cb195df?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1650&q=80,1,each
limes,citrus,fruit,https://images.unsplash.com/photo-1578855691621-8a08ea00d1fb?ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,1,each
oranges,citrus,fruit,https://images.unsplash.com/photo-1547514701-42782101795e?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=668&q=80,1,each
peach,stone,fruit,https://images.unsplash.com/photo-1552265129-14577cfb8a05?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1652&q=80,4,each
nectarines,stone,fruit,https://images.unsplash.com/photo-1524222717473-730000096953?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1650&q=80,4,each
strawberries,berries,fruit,https://images.unsplash.com/photo-1543528176-61b239494933?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1653&q=80,200,g
